LOG [ 233] [Gimbal]   Read Values
LOG [ 234] [Gimbal]   Write values
LOG [ 235] [Gimbal]   Read Values
LOG [ 236] [Gimbal]   Write values
LOG [ 237] [Gimbal]   Read Values
LOG [ 238] [Gimbal]   Write values
LOG [ 239] [Gimbal]   Read Values
LOG [ 240] [Gimbal]   Write values
LOG [ 241] [Gimbal]   Read Values
LOG [ 242] [Gimbal]   Write values
LOG [ 243] [Gimbal]   Read Values
LOG [ 244] [Camera]   Video Cap
LOG [ 245] [Camera]    POS_FRAMES:    -1.000000
LOG [ 246] [Gimbal]   Write values
LOG [ 247] [Camera]    FRAME_WIDTH:   640.000000
LOG [ 248] [Gimbal]   Read Values
LOG [ 249] [Camera]    FRAME_HEIGHT:  480.000000
LOG [ 250] [Camera]    FPS:           0.000000
LOG [ 251] [Camera]    FOURCC:        ac800000
LOG [ 252] [Camera]    FRAME_COUNT:   -1.000000
LOG [ 253] [Camera]    FORMAT:        -1.000000
LOG [ 254] [Camera]    MODE:          -1.000000
LOG [ 255] [Gimbal]   Write values
LOG [ 256] [Gimbal]   Read Values
LOG [ 257] [Gimbal]   Write values
LOG [ 258] [Gimbal]   Read Values
LOG [ 259] [Camera]    BRIGHTNESS:    133.000000
LOG [ 260] [Gimbal]   Write values
LOG [ 261] [Gimbal]   Read Values
LOG [ 262] [Camera]    CONTRAST:      5.000000
LOG [ 263] [Gimbal]   Write values
LOG [ 264] [Gimbal]   Read Values
LOG [ 265] [Camera]    SATURATION:    83.000000
LOG [ 266] [Gimbal]   Write values
LOG [ 267] [Gimbal]   Read Values
LOG [ 268] [Camera]    HUE:           -1.000000
LOG [ 269] [Gimbal]   Write values
LOG [ 270] [Gimbal]   Read Values
LOG [ 271] [Camera]    GAIN:          -1.000000
LOG [ 272] [Gimbal]   Write values
LOG [ 273] [Gimbal]   Read Values
LOG [ 274] [Camera]    EXPOSURE:      -6.000000
LOG [ 275] [Camera]    EXPOSURE: -1.000000
LOG [ 276] [Camera]    CONVERT_RGB:   -1.000000
LOG [ 277] [Gimbal]   Write values
LOG [ 278] [Gimbal]   Read Values
LOG [ 279] [Gimbal]   Write values
LOG [ 280] [Gimbal]   Read Values
LOG [ 281] [Gimbal]   Write values
LOG [ 282] [Gimbal]   Read Values
LOG [ 283] [Gimbal]   Write values
LOG [ 284] [Gimbal]   Read Values
LOG [ 285] [Gimbal]   Write values
LOG [ 286] [Gimbal]   Read Values
LOG [ 287] [Gimbal]   Write values
LOG [ 288] [Gimbal]   Read Values
LOG [ 289] [Gimbal]   Write values
LOG [ 290] [Gimbal]   Read Values
LOG [ 291] [Gimbal]   Write values
LOG [ 292] [Gimbal]   Read Values
LOG [ 293] [Gimbal]   Write values
LOG [ 294] [Gimbal]   Read Values
LOG [ 295] [Gimbal]   Write values
LOG [ 296] [Gimbal]   Read Values
LOG [ 297] [Gimbal]   Write values
LOG [ 298] [Gimbal]   Read Values
LOG [ 299] [Gimbal]   Write values
LOG [ 300] [Gimbal]   Read Values
LOG [ 301] [Gimbal]   Write values
LOG [ 302] [Gimbal]   Read Values
LOG [ 303] [Gimbal]   Write values
LOG [ 304] [Gimbal]   Read Values
LOG [ 305] [Gimbal]   Write values
LOG [ 306] [Gimbal]   Read Values
LOG [ 307] [Gimbal]   Write values
LOG [ 308] [Gimbal]   Read Values
LOG [ 309] [Gimbal]   Write values
LOG [ 310] [Gimbal]   Read Values
LOG [ 311] [Gimbal]   Write values
LOG [ 312] [Gimbal]   Read Values
LOG [ 313] [Gimbal]   Write values
LOG [ 314] [Gimbal]   Read Values
LOG [ 315] [Gimbal]   Write values
LOG [ 316] [Gimbal]   Read Values
LOG [ 317] [Gimbal]   Write values
LOG [ 318] [Gimbal]   Read Values
LOG [ 319] [Gimbal]   Write values
LOG [ 320] [Gimbal]   Read Values
LOG [ 321] [Gimbal]   Write values
LOG [ 322] [Gimbal]   Read Values
LOG [ 323] [Gimbal]   Write values
LOG [ 324] [Gimbal]   Read Values
LOG [ 325] [Gimbal]   Write values
LOG [ 326] [Gimbal]   Read Values
LOG [ 327] [Gimbal]   Write values
LOG [ 328] [Gimbal]   Read Values
LOG [ 329] [Gimbal]   Write values
LOG [ 330] [Gimbal]   Read Values
LOG [ 331] [Gimbal]   Write values
LOG [ 332] [Gimbal]   Read Values
LOG [ 333] [Gimbal]   Write values
LOG [ 334] [Gimbal]   Read Values
LOG [ 335] [Gimbal]   Write values
LOG [ 336] [Gimbal]   Read Values
LOG [ 337] [Gimbal]   Write values
LOG [ 338] [Gimbal]   Read Values
LOG [ 339] [Gimbal]   Write values
LOG [ 340] [Gimbal]   Read Values
LOG [ 341] [Gimbal]   Write values
LOG [ 342] [Gimbal]   Read Values
LOG [ 343] [Gimbal]   Write values
LOG [ 344] [Gimbal]   Read Values
LOG [ 345] [Gimbal]   Write values
LOG [ 346] [Gimbal]   Read Values
LOG [ 347] [Gimbal]   Write values
LOG [ 348] [Gimbal]   Read Values
LOG [ 349] [Gimbal]   Write values
LOG [ 350] [Gimbal]   Read Values
LOG [ 351] [Gimbal]   Write values
LOG [ 352] [Gimbal]   Read Values
LOG [ 353] [Gimbal]   Write values
LOG [ 354] [Gimbal]   Read Values
LOG [ 355] [Gimbal]   Write values
LOG [ 356] [Gimbal]   Read Values
LOG [ 357] [Gimbal]   Write values
LOG [ 358] [Gimbal]   Read Values
LOG [ 359] [Gimbal]   Write values
LOG [ 360] [Gimbal]   Read Values
LOG [ 361] [Gimbal]   Write values
LOG [ 362] [Gimbal]   Read Values
LOG [ 363] [Gimbal]   Write values
LOG [ 364] [Gimbal]   Read Values
LOG [ 365] [Gimbal]   Write values
LOG [ 366] [Gimbal]   Read Values
LOG [ 367] [Gimbal]   Write values
LOG [ 368] [Gimbal]   Read Values
LOG [ 369] [Gimbal]   Write values
LOG [ 370] [Gimbal]   Read Values
LOG [ 371] [Gimbal]   Write values
LOG [ 372] [Gimbal]   Read Values
LOG [ 373] [Gimbal]   Write values
LOG [ 374] [Gimbal]   Read Values
LOG [ 375] [Gimbal]   Write values
LOG [ 376] [Gimbal]   Read Values
LOG [ 377] [Gimbal]   Write values
LOG [ 378] [Gimbal]   Read Values
LOG [ 379] [Gimbal]   Write values
LOG [ 380] [Gimbal]   Read Values
LOG [ 381] [Gimbal]   Write values
LOG [ 382] [Gimbal]   Read Values
LOG [ 383] [Gimbal]   Write values
LOG [ 384] [Gimbal]   Read Values
LOG [ 385] [Gimbal]   Write values
LOG [ 386] [Gimbal]   Read Values
LOG [ 387] [Gimbal]   Write values
LOG [ 388] [Gimbal]   Read Values
LOG [ 389] [Gimbal]   Write values
LOG [ 390] [Gimbal]   Read Values
LOG [ 391] [Gimbal]   Write values
LOG [ 392] [Gimbal]   Read Values
LOG [ 393] [Gimbal]   Write values
LOG [ 394] [Gimbal]   Read Values
LOG [ 395] [Gimbal]   Write values
LOG [ 396] [Gimbal]   Read Values
LOG [ 397] [Gimbal]   Write values
LOG [ 398] [Gimbal]   Read Values
LOG [ 399] [Gimbal]   Write values
LOG [ 400] [Gimbal]   Read Values
LOG [ 401] [Gimbal]   Write values
LOG [ 402] [Gimbal]   Read Values
LOG [ 403] [Gimbal]   Write values
LOG [ 404] [Gimbal]   Read Values
LOG [ 405] [Gimbal]   Write values
LOG [ 406] [Gimbal]   Read Values
LOG [ 407] [Gimbal]   Write values
LOG [ 408] [Gimbal]   Read Values
LOG [ 409] [Gimbal]   Write values
LOG [ 410] [Gimbal]   Read Values
LOG [ 411] [Gimbal]   Write values
LOG [ 412] [Gimbal]   Read Values
LOG [ 413] [Gimbal]   Write values
LOG [ 414] [Gimbal]   Read Values
LOG [ 415] [Gimbal]   Write values
LOG [ 416] [Gimbal]   Read Values
LOG [ 417] [Gimbal]   Write values
LOG [ 418] [Gimbal]   Read Values
LOG [ 419] [Gimbal]   Write values
LOG [ 420] [Gimbal]   Read Values
LOG [ 421] [Gimbal]   Write values
LOG [ 422] [Gimbal]   Read Values
LOG [ 423] [Gimbal]   Write values
LOG [ 424] [Gimbal]   Read Values
LOG [ 425] [Gimbal]   Write values
LOG [ 426] [Gimbal]   Read Values
LOG [ 427] [Gimbal]   Write values
LOG [ 428] [Gimbal]   Read Values
LOG [ 429] [Gimbal]   Write values
LOG [ 430] [Gimbal]   Read Values
LOG [ 431] [Gimbal]   Write values
LOG [ 432] [Gimbal]   Read Values
LOG [ 433] [Gimbal]   Write values
LOG [ 434] [Gimbal]   Read Values
LOG [ 435] [Gimbal]   Write values
LOG [ 436] [Gimbal]   Read Values
LOG [ 437] [Gimbal]   Write values
LOG [ 438] [Gimbal]   Read Values
LOG [ 439] [Gimbal]   Write values
LOG [ 440] [Gimbal]   Read Values
LOG [ 441] [Gimbal]   Write values
LOG [ 442] [Gimbal]   Read Values
LOG [ 443] [Gimbal]   Write values
LOG [ 444] [Gimbal]   Read Values
LOG [ 445] [Gimbal]   Write values
LOG [ 446] [Gimbal]   Read Values
LOG [ 447] [Gimbal]   Write values
LOG [ 448] [Gimbal]   Read Values
LOG [ 449] [Gimbal]   Write values
LOG [ 450] [Gimbal]   Read Values
LOG [ 451] [Gimbal]   Write values
LOG [ 452] [Gimbal]   Read Values
LOG [ 453] [Gimbal]   Write values
LOG [ 454] [Gimbal]   Read Values
LOG [ 455] [Gimbal]   Write values
LOG [ 456] [Gimbal]   Read Values
LOG [ 457] [Gimbal]   Write values
LOG [ 458] [Gimbal]   Read Values
LOG [ 459] [Gimbal]   Write values
LOG [ 460] [Gimbal]   Read Values
LOG [ 461] [Gimbal]   Write values
LOG [ 462] [Gimbal]   Read Values
LOG [ 463] [Gimbal]   Write values
LOG [ 464] [Gimbal]   Read Values
LOG [ 465] [Gimbal]   Write values
LOG [ 466] [Gimbal]   Read Values
LOG [ 467] [Gimbal]   Write values
LOG [ 468] [Gimbal]   Read Values
LOG [ 469] [Gimbal]   Write values
LOG [ 470] [Gimbal]   Read Values
LOG [ 471] [Gimbal]   Write values
LOG [ 472] [Gimbal]   Read Values
LOG [ 473] [Gimbal]   Write values
LOG [ 474] [Gimbal]   Read Values
LOG [ 475] [Gimbal]   Write values
LOG [ 476] [Gimbal]   Read Values
LOG [ 477] [Gimbal]   Write values
LOG [ 478] [Gimbal]   Read Values
LOG [ 479] [Gimbal]   Write values
LOG [ 480] [Gimbal]   Read Values
LOG [ 481] [Gimbal]   Write values
LOG [ 482] [Gimbal]   Read Values
LOG [ 483] [Gimbal]   Write values
LOG [ 484] [Gimbal]   Read Values
LOG [ 485] [Gimbal]   Write values
LOG [ 486] [Gimbal]   Read Values
LOG [ 487] [Gimbal]   Write values
